"ID","sMAPE","RMSE","MAE","MASE"
"198","nnet","nnet","nnet","nnet"
"199","nnet","nnet","nnet","nnet"
"200","naive","naive","naive","naive"
"201","nnet","nnet","nnet","nnet"
"202","arima","arima","arima","arima"
"203","arima","arima","arima","arima"
"204","nnet","nnet","nnet","nnet"
"205","nnet","nnet","nnet","nnet"
"206","ets","ets","ets","ets"
"207","ets","ets","ets","ets"
"208","naive","naive","naive","naive"
"209","ets","ets","ets","ets"
"210","nnet","snaive","nnet","nnet"
"211","naive","naive","naive","naive"
"212","naive","naive","naive","naive"
"213","naive","naive","naive","naive"
"214","naive","naive","naive","naive"
"215","naive","naive","naive","naive"
"216","arima","arima","arima","arima"
"217","nnet","nnet","nnet","nnet"
"218","naive","naive","naive","naive"
"219","nnet","nnet","nnet","nnet"
"220","arima","arima","arima","arima"
"221","ets","ets","ets","ets"
"222","ets","ets","ets","ets"
"223","arima","arima","arima","arima"
"224","arima","arima","arima","arima"
"225","arima","arima","arima","arima"
"226","arima","arima","arima","arima"
"227","arima","arima","arima","arima"
"228","arima","arima","arima","arima"
"229","arima","arima","arima","arima"
"230","naive","arima","naive","naive"
"231","arima","arima","arima","arima"
"232","naive","naive","naive","naive"
"233","arima","arima","arima","arima"
"234","naive","naive","naive","naive"
"235","ets","arima","ets","ets"
"236","nnet","nnet","nnet","nnet"
"237","naive","naive","naive","naive"
"238","naive","naive","naive","naive"
"239","ets","ets","ets","ets"
"240","naive","naive","naive","naive"
"241","nnet","naive","nnet","nnet"
"242","arima","arima","arima","arima"
"243","ets","ets","ets","ets"
"244","naive","naive","naive","naive"
"245","arima","arima","arima","arima"
"246","arima","arima","arima","arima"
"247","naive","naive","naive","naive"
"248","naive","naive","naive","naive"
"249","nnet","nnet","nnet","nnet"
"250","snaive","snaive","snaive","snaive"
"251","naive","naive","naive","naive"
"252","naive","naive","naive","naive"
"253","naive","naive","naive","naive"
"254","arima","arima","arima","arima"
"255","arima","arima","arima","arima"
"256","naive","naive","naive","naive"
"257","naive","naive","naive","naive"
"258","naive","nnet","naive","naive"
"259","snaive","snaive","snaive","snaive"
"260","ets","ets","ets","ets"
"261","snaive","snaive","snaive","snaive"
"262","nnet","nnet","nnet","nnet"
"263","ets","naive","ets","ets"
"264","arima","arima","arima","arima"
"265","naive","naive","naive","naive"
"266","arima","arima","arima","arima"
"267","nnet","nnet","nnet","nnet"
"268","snaive","snaive","snaive","snaive"
"269","ets","ets","ets","ets"
"270","arima","arima","arima","arima"
"271","nnet","nnet","nnet","nnet"
"272","arima","arima","arima","arima"
"273","ets","snaive","snaive","snaive"
"274","ets","ets","ets","ets"
"275","ets","ets","ets","ets"
"276","arima","arima","arima","arima"
"277","arima","arima","arima","arima"
"278","ets","ets","ets","ets"
"279","nnet","nnet","nnet","nnet"
"280","naive","naive","naive","naive"
"281","naive","naive","naive","naive"
"282","arima","arima","arima","arima"
"283","nnet","nnet","nnet","nnet"
"284","snaive","snaive","snaive","snaive"
"285","ets","ets","snaive","snaive"
"286","ets","ets","ets","ets"
"287","ets","ets","ets","ets"
"288","arima","arima","arima","arima"
"289","snaive","snaive","snaive","snaive"
"290","nnet","nnet","nnet","nnet"
"291","arima","arima","arima","arima"
"292","snaive","snaive","snaive","snaive"
"293","nnet","ets","nnet","nnet"
"294","ets","snaive","ets","ets"
"295","nnet","nnet","nnet","nnet"
"296","ets","ets","ets","ets"
"297","nnet","nnet","nnet","nnet"
"298","snaive","snaive","snaive","snaive"
"299","nnet","ets","nnet","nnet"
"300","snaive","ets","snaive","snaive"
"301","ets","ets","ets","ets"
"302","ets","ets","ets","ets"
"303","ets","ets","ets","ets"
"304","ets","ets","ets","ets"
"305","arima","arima","arima","arima"
"306","snaive","snaive","snaive","snaive"
"307","arima","arima","arima","arima"
"308","snaive","nnet","nnet","nnet"
"309","snaive","nnet","snaive","snaive"
"310","nnet","arima","nnet","nnet"
"311","arima","arima","arima","arima"
"312","ets","ets","ets","ets"
"313","arima","arima","arima","arima"
"314","nnet","nnet","nnet","nnet"
"315","ets","ets","ets","ets"
"316","arima","arima","arima","arima"
"317","snaive","snaive","snaive","snaive"
"318","arima","arima","arima","arima"
"319","naive","ets","naive","naive"
"320","naive","ets","naive","naive"
"321","nnet","nnet","nnet","nnet"
"322","arima","ets","arima","arima"
"323","arima","arima","arima","arima"
"324","arima","arima","arima","arima"
"325","snaive","snaive","snaive","snaive"
"326","arima","arima","arima","arima"
"327","snaive","snaive","snaive","snaive"
"328","arima","arima","arima","arima"
"329","nnet","nnet","nnet","nnet"
"330","nnet","nnet","nnet","nnet"
"331","arima","naive","arima","arima"
"332","ets","ets","ets","ets"
"333","naive","naive","naive","naive"
"334","ets","ets","ets","ets"
"335","arima","arima","arima","arima"
"336","ets","ets","ets","ets"
"337","ets","ets","ets","ets"
"338","snaive","ets","snaive","snaive"
"339","arima","nnet","arima","arima"
"340","ets","ets","ets","ets"
"341","arima","arima","arima","arima"
"342","ets","ets","ets","ets"
"343","ets","ets","ets","ets"
"344","ets","ets","ets","ets"
"345","snaive","snaive","snaive","snaive"
"346","arima","arima","arima","arima"
"347","ets","ets","ets","ets"
"348","arima","arima","arima","arima"
"349","arima","nnet","arima","arima"
"350","arima","arima","arima","arima"
"351","naive","naive","naive","naive"
"352","ets","ets","ets","ets"
"353","ets","ets","ets","ets"
"354","snaive","snaive","snaive","snaive"
"355","arima","arima","arima","arima"
"356","naive","naive","naive","naive"
"357","ets","ets","ets","ets"
"358","ets","ets","ets","ets"
"359","nnet","nnet","nnet","nnet"
"360","naive","naive","naive","naive"
"361","ets","ets","ets","ets"
"362","snaive","ets","snaive","snaive"
"363","naive","naive","naive","naive"
"364","arima","arima","arima","arima"
"365","ets","ets","ets","ets"
"366","nnet","nnet","nnet","nnet"
"367","arima","arima","arima","arima"
"368","ets","ets","ets","ets"
"369","arima","nnet","nnet","nnet"
"370","ets","ets","ets","ets"
"371","snaive","snaive","snaive","snaive"
"372","ets","ets","ets","ets"
"373","ets","snaive","ets","ets"
"374","ets","arima","ets","ets"
"375","arima","arima","arima","arima"
"376","arima","arima","arima","naive"
"377","arima","arima","arima","arima"
"378","arima","arima","arima","arima"
"379","arima","arima","arima","arima"
"380","naive","naive","naive","naive"
"381","naive","naive","naive","naive"
"382","snaive","ets","ets","ets"
"383","naive","naive","naive","naive"
"384","ets","nnet","ets","ets"
"385","arima","arima","arima","arima"
"386","nnet","ets","nnet","nnet"
"387","arima","arima","arima","arima"
"388","nnet","nnet","nnet","nnet"
"389","ets","ets","ets","ets"
"390","ets","nnet","ets","ets"
"391","naive","naive","naive","naive"
"392","nnet","nnet","nnet","nnet"
"393","arima","arima","arima","arima"
"394","snaive","snaive","snaive","snaive"
"395","ets","ets","ets","ets"
"396","ets","ets","ets","ets"
"397","arima","arima","arima","arima"
"398","nnet","nnet","nnet","nnet"
"399","nnet","nnet","nnet","nnet"
"400","arima","arima","arima","arima"
"401","arima","arima","arima","arima"
"402","snaive","snaive","snaive","snaive"
"403","arima","arima","arima","arima"
"404","arima","ets","arima","arima"
"405","ets","ets","ets","ets"
"406","arima","arima","arima","arima"
"407","ets","ets","ets","ets"
"408","snaive","snaive","snaive","snaive"
"409","naive","naive","naive","naive"
"410","nnet","ets","nnet","nnet"
"411","ets","ets","ets","ets"
"412","naive","ets","naive","naive"
"413","arima","nnet","arima","arima"
"414","naive","naive","naive","naive"
"415","naive","naive","naive","naive"
"416","ets","ets","ets","ets"
"417","nnet","nnet","nnet","nnet"
"418","arima","arima","arima","arima"
"419","ets","ets","ets","ets"
"420","arima","arima","arima","arima"
"421","nnet","nnet","nnet","nnet"
"422","nnet","nnet","nnet","nnet"
"423","ets","ets","ets","ets"
"424","ets","ets","ets","ets"
"425","arima","arima","arima","arima"
"426","naive","snaive","naive","naive"
"427","naive","naive","naive","naive"
"428","arima","arima","arima","arima"
"429","naive","naive","naive","naive"
"430","arima","arima","arima","arima"
"431","snaive","ets","snaive","snaive"
"432","snaive","snaive","snaive","snaive"
"433","ets","naive","naive","naive"
"434","nnet","nnet","nnet","nnet"
"435","arima","arima","arima","arima"
"436","snaive","snaive","snaive","snaive"
"437","nnet","ets","nnet","nnet"
"438","arima","arima","arima","arima"
"439","ets","snaive","snaive","snaive"
"440","arima","arima","arima","arima"
"441","arima","arima","arima","arima"
"442","snaive","snaive","snaive","snaive"
"443","snaive","snaive","snaive","snaive"
"444","ets","ets","ets","ets"
"445","arima","arima","arima","arima"
"446","nnet","nnet","nnet","nnet"
"447","arima","arima","arima","arima"
"448","ets","ets","ets","ets"
"449","ets","ets","naive","naive"
"450","nnet","nnet","nnet","nnet"
"451","arima","arima","arima","arima"
"452","arima","arima","arima","arima"
"453","nnet","nnet","nnet","nnet"
"454","snaive","snaive","snaive","snaive"
"455","ets","ets","ets","ets"
"456","nnet","nnet","nnet","nnet"
"457","ets","arima","ets","ets"
"458","arima","arima","arima","arima"
"459","ets","ets","ets","ets"
"460","ets","ets","ets","ets"
"461","ets","ets","ets","ets"
"462","naive","naive","naive","naive"
"463","ets","arima","ets","ets"
"464","snaive","snaive","snaive","snaive"
"465","ets","ets","ets","ets"
"466","naive","snaive","naive","naive"
"467","snaive","snaive","snaive","snaive"
"468","snaive","snaive","snaive","snaive"
"469","naive","naive","naive","naive"
"470","arima","arima","arima","arima"
"471","ets","ets","ets","ets"
"472","arima","arima","arima","arima"
"473","ets","snaive","ets","ets"
"474","nnet","snaive","nnet","nnet"
"475","snaive","snaive","snaive","snaive"
"476","naive","naive","naive","naive"
"477","ets","ets","ets","ets"
"478","nnet","nnet","nnet","nnet"
"479","nnet","nnet","nnet","nnet"
"480","nnet","nnet","nnet","nnet"
"481","snaive","nnet","snaive","snaive"
"482","arima","arima","arima","arima"
"483","arima","arima","arima","arima"
"484","naive","naive","naive","naive"
"485","arima","arima","arima","arima"
"486","arima","arima","arima","arima"
"487","ets","ets","ets","ets"
"488","arima","naive","arima","arima"
"489","ets","ets","ets","ets"
"490","ets","ets","ets","ets"
"491","arima","nnet","arima","arima"
"492","arima","arima","arima","arima"
"493","ets","ets","ets","ets"
"494","nnet","nnet","nnet","nnet"
"495","arima","arima","arima","arima"
"496","snaive","ets","snaive","snaive"
"497","ets","ets","ets","ets"
"498","ets","ets","ets","ets"
"499","arima","arima","arima","arima"
"500","nnet","nnet","nnet","nnet"
"501","arima","arima","arima","arima"
"502","ets","ets","ets","ets"
"503","snaive","nnet","snaive","snaive"
"504","arima","arima","arima","arima"
"505","arima","arima","arima","arima"
"506","arima","arima","arima","arima"
"507","arima","arima","arima","arima"
"508","arima","arima","arima","arima"
"509","arima","arima","arima","arima"
"510","ets","ets","ets","ets"
"511","arima","arima","arima","arima"
"512","arima","arima","arima","arima"
"513","nnet","nnet","nnet","nnet"
"514","nnet","arima","nnet","nnet"
"515","nnet","nnet","nnet","nnet"
"516","nnet","nnet","nnet","nnet"
"517","arima","arima","arima","arima"
"518","naive","nnet","naive","naive"
"519","nnet","nnet","nnet","nnet"
"520","ets","ets","ets","ets"
"521","ets","ets","ets","ets"
"522","ets","ets","ets","ets"
"523","ets","ets","ets","ets"
"524","nnet","nnet","nnet","nnet"
"525","naive","naive","naive","naive"
"526","ets","ets","ets","ets"
"527","ets","ets","ets","ets"
"528","nnet","nnet","nnet","nnet"
"529","nnet","nnet","nnet","nnet"
"530","snaive","snaive","snaive","snaive"
"531","naive","naive","naive","naive"
"532","arima","nnet","arima","arima"
"533","ets","ets","ets","ets"
"534","ets","ets","ets","ets"
"535","ets","ets","ets","ets"
"536","snaive","snaive","snaive","snaive"
"537","nnet","nnet","nnet","nnet"
"538","ets","ets","ets","ets"
"539","ets","ets","ets","ets"
"540","arima","arima","arima","arima"
"541","naive","naive","naive","naive"
"542","snaive","snaive","snaive","snaive"
"543","arima","arima","arima","arima"
"544","ets","ets","ets","ets"
"545","arima","arima","arima","arima"
"546","arima","arima","arima","arima"
"547","arima","arima","arima","arima"
"548","nnet","nnet","nnet","nnet"
"549","ets","ets","ets","ets"
"550","nnet","arima","nnet","nnet"
"551","ets","ets","ets","ets"
"552","ets","ets","ets","ets"
"553","naive","ets","naive","naive"
"554","arima","arima","arima","arima"
"555","snaive","snaive","snaive","snaive"
"556","naive","naive","naive","naive"
"557","ets","nnet","ets","ets"
"558","arima","arima","arima","arima"
"559","naive","naive","naive","naive"
"560","nnet","nnet","nnet","nnet"
"561","arima","arima","arima","arima"
"562","arima","arima","arima","arima"
"563","arima","ets","arima","arima"
"564","naive","naive","naive","naive"
"565","nnet","nnet","nnet","nnet"
"566","ets","ets","ets","ets"
"567","arima","arima","arima","arima"
"568","ets","ets","ets","ets"
"569","naive","naive","naive","naive"
"570","arima","arima","arima","arima"
"571","ets","ets","ets","ets"
"572","naive","naive","naive","naive"
"573","nnet","ets","nnet","nnet"
"574","arima","arima","arima","arima"
"575","nnet","nnet","nnet","nnet"
"576","nnet","nnet","nnet","nnet"
"577","nnet","ets","nnet","nnet"
"578","arima","arima","arima","arima"
"579","snaive","snaive","snaive","snaive"
"580","arima","arima","arima","arima"
"581","naive","naive","naive","naive"
"582","nnet","nnet","nnet","nnet"
"583","arima","arima","arima","arima"
"584","ets","ets","ets","ets"
"585","ets","ets","ets","ets"
"586","arima","arima","arima","arima"
"587","arima","arima","arima","arima"
"588","arima","arima","arima","arima"
"589","naive","naive","naive","naive"
"590","snaive","snaive","snaive","snaive"
"591","naive","naive","naive","naive"
"592","arima","arima","arima","arima"
"593","ets","arima","ets","ets"
"594","ets","ets","ets","ets"
"595","arima","arima","arima","arima"
"596","nnet","nnet","nnet","nnet"
"597","arima","arima","arima","arima"
"598","nnet","nnet","nnet","nnet"
"599","naive","naive","naive","naive"
"600","naive","naive","naive","naive"
"601","arima","arima","arima","arima"
"602","ets","ets","ets","ets"
"603","arima","arima","arima","arima"
"604","arima","arima","arima","arima"
"605","ets","ets","ets","ets"
"606","arima","arima","arima","arima"
"607","arima","arima","arima","arima"
"608","nnet","nnet","nnet","nnet"
"609","nnet","nnet","nnet","nnet"
"610","arima","arima","arima","arima"
"611","naive","naive","naive","naive"
"612","arima","arima","arima","arima"
"613","nnet","nnet","nnet","nnet"
"614","arima","arima","arima","arima"
"615","naive","naive","naive","naive"
"616","nnet","nnet","nnet","nnet"
"617","nnet","nnet","nnet","nnet"
"618","arima","arima","arima","arima"
"619","naive","naive","naive","naive"
"620","arima","arima","arima","arima"
"621","nnet","nnet","nnet","nnet"
"622","nnet","nnet","nnet","nnet"
"623","nnet","nnet","nnet","nnet"
"624","ets","ets","ets","ets"
"625","arima","arima","arima","arima"
"626","arima","arima","arima","arima"
"627","arima","arima","arima","arima"
"628","nnet","nnet","nnet","nnet"
"629","ets","ets","ets","ets"
"630","ets","ets","ets","ets"
"631","ets","ets","ets","ets"
"632","ets","ets","ets","ets"
"633","arima","ets","arima","arima"
"634","arima","arima","arima","arima"
"635","ets","ets","ets","ets"
"636","arima","arima","ets","ets"
"637","snaive","snaive","snaive","snaive"
"638","ets","ets","ets","ets"
"639","ets","nnet","ets","ets"
"640","arima","arima","arima","arima"
"641","ets","ets","ets","ets"
"642","ets","ets","ets","ets"
"643","nnet","nnet","nnet","nnet"
"644","ets","ets","ets","ets"
"645","arima","arima","arima","arima"
"646","ets","ets","ets","ets"
"647","nnet","nnet","nnet","nnet"
"648","snaive","snaive","snaive","snaive"
"649","naive","naive","naive","naive"
"650","ets","ets","ets","ets"
"651","arima","arima","arima","arima"
"652","snaive","snaive","snaive","snaive"
"653","arima","arima","arima","arima"
"654","nnet","nnet","nnet","nnet"
"655","arima","arima","arima","arima"
"656","naive","naive","naive","naive"
"657","ets","ets","ets","ets"
"658","arima","arima","arima","arima"
"659","arima","arima","arima","arima"
"660","snaive","ets","ets","ets"
"661","snaive","snaive","snaive","snaive"
"662","arima","arima","arima","arima"
"663","snaive","snaive","snaive","snaive"
"664","snaive","snaive","snaive","snaive"
"665","snaive","snaive","snaive","snaive"
"666","snaive","snaive","snaive","snaive"
"667","snaive","snaive","snaive","snaive"
"668","arima","arima","arima","arima"
"669","snaive","ets","snaive","snaive"
"670","ets","arima","arima","arima"
"671","snaive","snaive","snaive","snaive"
"672","arima","arima","arima","arima"
"673","snaive","snaive","snaive","snaive"
"674","snaive","snaive","snaive","snaive"
"675","ets","ets","ets","ets"
"676","snaive","snaive","snaive","snaive"
"677","ets","naive","ets","ets"
"678","snaive","snaive","snaive","snaive"
"679","snaive","snaive","snaive","snaive"
"680","ets","ets","ets","ets"
"681","nnet","nnet","nnet","nnet"
"682","ets","ets","ets","ets"
"683","snaive","snaive","snaive","snaive"
"684","ets","snaive","ets","ets"
"685","nnet","nnet","nnet","nnet"
"686","arima","arima","arima","arima"
"687","arima","arima","arima","arima"
"688","arima","arima","arima","arima"
"689","arima","arima","arima","arima"
"690","arima","nnet","arima","arima"
"691","ets","ets","ets","ets"
"692","ets","ets","ets","ets"
"693","ets","snaive","ets","ets"
"694","snaive","snaive","snaive","snaive"
"695","arima","arima","arima","arima"
"696","snaive","snaive","snaive","snaive"
"697","nnet","nnet","nnet","nnet"
"698","nnet","nnet","nnet","nnet"
"699","ets","ets","ets","ets"
"700","snaive","snaive","snaive","snaive"
"701","snaive","snaive","snaive","snaive"
"702","ets","ets","ets","ets"
"703","arima","arima","arima","arima"
"704","nnet","nnet","nnet","nnet"
"705","arima","arima","arima","arima"
"706","arima","arima","arima","arima"
"707","snaive","snaive","snaive","snaive"
"708","arima","snaive","snaive","snaive"
"709","naive","naive","naive","naive"
"710","ets","ets","ets","ets"
"711","arima","naive","arima","arima"
"712","nnet","nnet","nnet","nnet"
"713","nnet","nnet","nnet","nnet"
"714","ets","arima","ets","ets"
"715","arima","arima","arima","arima"
"716","ets","ets","ets","ets"
"717","arima","arima","arima","arima"
"718","arima","arima","arima","arima"
"719","ets","ets","ets","ets"
"720","ets","ets","ets","ets"
"721","arima","arima","arima","arima"
"722","nnet","nnet","nnet","nnet"
"723","arima","arima","arima","arima"
"724","arima","arima","arima","arima"
"725","arima","arima","arima","arima"
"726","naive","ets","naive","naive"
"727","nnet","nnet","nnet","nnet"
"728","snaive","snaive","snaive","snaive"
"729","arima","arima","arima","arima"
"730","arima","arima","arima","arima"
"731","arima","arima","arima","arima"
"732","nnet","nnet","nnet","nnet"
"733","naive","naive","naive","naive"
"734","ets","ets","ets","ets"
"735","arima","arima","arima","arima"
"736","arima","arima","arima","arima"
"737","arima","arima","arima","arima"
"738","arima","arima","arima","arima"
"739","arima","arima","arima","arima"
"740","naive","naive","naive","naive"
"741","arima","arima","arima","arima"
"742","arima","arima","arima","arima"
"743","ets","ets","ets","ets"
"744","ets","ets","ets","ets"
"745","arima","arima","arima","arima"
"746","arima","arima","arima","arima"
"747","naive","naive","naive","naive"
"748","nnet","nnet","nnet","nnet"
"749","nnet","nnet","nnet","nnet"
"750","arima","arima","arima","arima"
"751","naive","arima","arima","arima"
"752","arima","arima","arima","arima"
"753","naive","naive","naive","naive"
"754","arima","arima","arima","arima"
"755","ets","ets","ets","ets"
"756","arima","arima","arima","arima"
"757","arima","arima","arima","arima"
"758","ets","arima","ets","ets"
"759","ets","ets","ets","ets"
"760","ets","ets","ets","ets"
"761","nnet","nnet","nnet","nnet"
"762","arima","arima","arima","arima"
"763","arima","arima","arima","arima"
"764","arima","arima","arima","arima"
"765","arima","arima","arima","arima"
"766","arima","arima","arima","arima"
"767","naive","ets","naive","naive"
"768","arima","arima","arima","arima"
"769","ets","ets","ets","ets"
"770","arima","arima","arima","arima"
"771","ets","ets","ets","ets"
"772","naive","ets","naive","naive"
"773","arima","arima","arima","arima"
"774","ets","ets","ets","ets"
"775","arima","arima","arima","arima"
"776","arima","arima","arima","arima"
"777","arima","arima","arima","arima"
"778","arima","arima","arima","arima"
"779","ets","ets","ets","ets"
"780","ets","ets","ets","ets"
"781","arima","arima","arima","arima"
"782","nnet","nnet","nnet","nnet"
"783","nnet","nnet","nnet","nnet"
"784","ets","snaive","ets","ets"
"785","arima","arima","arima","arima"
"786","ets","ets","ets","ets"
"787","ets","ets","ets","ets"
"788","ets","ets","ets","ets"
"789","ets","ets","ets","ets"
"790","ets","ets","ets","ets"
"791","nnet","nnet","nnet","nnet"
"792","arima","arima","arima","arima"
"793","arima","arima","arima","arima"
"794","nnet","nnet","nnet","nnet"
"795","arima","arima","arima","arima"
"796","naive","naive","naive","naive"
"797","snaive","snaive","snaive","snaive"
"798","ets","ets","ets","ets"
"799","snaive","snaive","snaive","snaive"
"800","arima","arima","arima","arima"
"801","arima","arima","arima","arima"
"802","arima","arima","arima","arima"
"803","naive","nnet","naive","naive"
"804","arima","arima","arima","arima"
"805","arima","arima","arima","arima"
"806","ets","ets","ets","ets"
"807","ets","ets","ets","ets"
"808","ets","ets","ets","ets"
"809","arima","arima","arima","arima"
"810","arima","arima","arima","arima"
"811","arima","arima","arima","arima"
"812","arima","arima","arima","arima"
"813","ets","ets","ets","ets"
"814","arima","arima","arima","arima"
"815","nnet","nnet","nnet","nnet"
"816","naive","naive","naive","naive"
"817","ets","ets","ets","ets"
"818","arima","arima","arima","arima"
